Player,Batter,Bowler,AllRounder,WicketKeeper,Spinner,Category,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Overs,Mdns,Runs2,Wkts,BBI,Ave3,Econ,SR4,4,5
RG Sharma (IND),1,0,0,0,0,Bat,159,151,19,4231,121*,32.05,3003,140.89,5,32,12,383,205,0,0,0,0,0,0,0,0,0,0
Babar Azam (PAK),1,0,0,0,0,Bat,128,121,15,4223,122,39.83,3268,129.22,3,36,7,447,73,0,0,0,0,0,0,0,0,0,0
DA Warner (AUS),1,0,0,0,0,Bat,110,110,12,3277,100*,33.43,2300,142.47,1,28,6,337,122,0,0,0,0,0,0,0,0,0,0
S Dhawan (IND),1,0,0,0,0,Bat,68,66,3,1759,92,27.92,1392,126.36,0,11,2,191,50,0,0,0,0,0,0,0,0,0,0
F du Plessis (SA/World),1,0,0,0,0,Bat,50,50,7,1528,119,35.53,1137,134.38,1,10,0,140,50,0,0,0,0,0,0,0,0,0,0
CH Gayle (WI),1,0,0,0,0,Bat,79,75,7,1899,117,27.92,1381,137.5,2,14,4,158,124,0,0,0,0,0,0,0,0,0,0
RR Hendricks (SA),1,0,0,0,0,Bat,78,77,2,2271,117,30.28,1724,131.72,1,17,5,250,63,0,0,0,0,0,0,0,0,0,0
TM Head (AUS),1,0,0,0,0,Bat,38,37,4,1093,91,33.12,681,160.49,0,5,2,114,53,0,0,0,0,0,0,0,0,0,0
MJ Clarke (AUS),1,0,0,0,0,Bat,34,28,5,488,67,21.21,473,103.17,0,1,2,29,10,0,0,0,0,0,0,0,0,0,0
MEK Hussey (AUS),1,0,0,0,0,Bat,38,30,11,721,60*,37.94,529,136.29,0,4,1,58,25,0,0,0,0,0,0,0,0,0,0
JC Buttler (ENG),1,0,0,1,0,Bat/WK,129,118,23,3389,101*,35.67,2305,147.02,1,25,8,310,146,0,0,0,0,0,0,0,0,0,0
PD Salt (ENG),1,0,0,1,0,Bat/WK,38,35,5,1106,119,36.86,669,165.32,3,4,3,103,58,0,0,0,0,0,0,0,0,0,0
KL Rahul (IND),1,0,0,1,0,Bat/WK,72,68,8,2265,110*,37.75,1628,139.12,2,22,5,191,99,0,0,0,0,0,0,0,0,0,0
Q de Kock (SA),1,0,0,1,0,Bat/WK,92,91,9,2584,100,31.51,1868,138.32,1,16,7,264,103,0,0,0,0,0,0,0,0,0,0
RR Pant (IND),1,0,0,1,0,Bat/WK,76,66,14,1209,65*,23.25,950,127.26,0,3,4,111,44,0,0,0,0,0,0,0,0,0,0
